poll_id,pollster_id,pollster,sponsor_ids,sponsors,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,display_name,mode,state,start_date,end_date,internal,partisan,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,updated_at,notes,url,url_article,url_topline,url_crosstab,politician_id,politician,favorable,unfavorable,alternate_answers
58070,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-03-25T00:00:00Z,2019-03-26T00:00:00Z,FALSE,NA,114799,1978,rv,NA,rv,FALSE,2025-04-28 19:36:23 UTC,2025-05-02 14:16:54 UTC,NA,https://morningconsult.com/wp-content/uploads/2019/03/190354_crosstabs_POLITICO_RVs_v1_AP.pdf,NA,NA,https://morningconsult.com/wp-content/uploads/2019/03/190354_crosstabs_POLITICO_RVs_v1_AP.pdf,11,Donald Trump,42,54,5
57776,568,YouGov,,,NA,NA,NA,YouGov,Online Matched Sample,NA,2019-03-24T00:00:00Z,2019-03-26T00:00:00Z,FALSE,NA,114786,1242,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:46 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6ujvi5p8z1/econTabReport.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6ujvi5p8z1/econTabReport.pdf,11,Donald Trump,45,54,2
57798,1292,Hart/POS,,,NA,NA,NA,Hart Research Associates/Public Opinion Strategies,Live Phone,NA,2019-03-23T00:00:00Z,2019-03-27T00:00:00Z,FALSE,NA,114728,1000,a,NA,a,FALSE,2025-04-28 19:35:06 UTC,2025-05-02 14:16:36 UTC,NA,https://www.documentcloud.org/documents/5785021-19093-NBCWSJ-March-Poll-3-31-19-Release.html,NA,NA,NA,11,Donald Trump,40,51,9
57802,383,PPP,,,NA,NA,NA,Public Policy Polling,IVR/Online Opt-In Panel,NA,2019-03-27T00:00:00Z,2019-03-28T00:00:00Z,FALSE,DEM,114731,846,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:45 UTC,NA,https://www.publicpolicypolling.com/wp-content/uploads/2019/04/PPP_Release_National_40119.pdf,NA,NA,NA,11,Donald Trump,42,52,5
57813,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-03-29T00:00:00Z,2019-04-01T00:00:00Z,FALSE,NA,114710,1945,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:45 UTC,NA,https://morningconsult.com/wp-content/uploads/2019/04/190362_crosstabs_POLITICO_RVs_v1_AP.pdf,NA,NA,https://morningconsult.com/wp-content/uploads/2019/04/190362_crosstabs_POLITICO_RVs_v1_AP.pdf,11,Donald Trump,44,52,5
57821,568,YouGov,,,NA,NA,NA,YouGov,Online Matched Sample,NA,2019-03-31T00:00:00Z,2019-04-02T00:00:00Z,FALSE,NA,114785,1221,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:46 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/t1fl59zsim/econTabReport.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/t1fl59zsim/econTabReport.pdf,11,Donald Trump,43,55,2
57846,261,Lake Research Partners/The Tarrance Group,,,NA,NA,NA,Lake Research Partners/The Tarrance Group,Live Phone,NA,2019-03-31T00:00:00Z,2019-04-04T00:00:00Z,FALSE,NA,114654,1000,lv,NA,lv,FALSE,2025-04-28 19:39:45 UTC,2025-05-02 14:17:45 UTC,NA,http://politics.georgetown.edu/wp-content/uploads/2019/04/BG-64-questionnaire.pdf,NA,NA,NA,11,Donald Trump,40,55,4
57858,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-04-05T00:00:00Z,2019-04-07T00:00:00Z,FALSE,NA,114709,1992,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:45 UTC,NA,https://morningconsult.com/wp-content/uploads/2019/04/190419_crosstabs_POLITICO_RVs_v1_DK.pdf,NA,NA,https://morningconsult.com/wp-content/uploads/2019/04/190419_crosstabs_POLITICO_RVs_v1_DK.pdf,11,Donald Trump,40,55,5
57864,568,YouGov,,,NA,NA,NA,YouGov,Online Matched Sample,NA,2019-04-06T00:00:00Z,2019-04-09T00:00:00Z,FALSE,NA,114784,1263,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:46 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ocwi3vp02h/econTabReport.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ocwi3vp02h/econTabReport.pdf,11,Donald Trump,44,53,2
57895,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-04-12T00:00:00Z,2019-04-14T00:00:00Z,FALSE,NA,114708,1998,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:45 UTC,NA,https://morningconsult.com/wp-content/uploads/2019/04/190431_crosstabs_POLITICO_RVs_v2_CHE.pdf,NA,NA,https://morningconsult.com/wp-content/uploads/2019/04/190431_crosstabs_POLITICO_RVs_v2_CHE.pdf,11,Donald Trump,44,51,5
